BFS_NR,NAME,n_fangt_s_Iis_aa_schmelze,n_fangt_s_Iis_afa_schmelze,n_schmilzt_s_Iis,n_tot,dominant,long,lat
4461_1,Amriswil,3,0,1,4,1,740264.1,268297.6
4501_1,Kradolf-Schoenenberg,2,0,0,4,1,732771,265250.8
4511_1,Zihlschlacht-Sitterdorf,6,0,2,9,1,737115.5,265056.8
4536_1,Basadingen-Schlattingen,3,0,1,5,1,698326.38,280633.594
4611_1,Thundorf,7,0,0,7,1,714785.7,267223.7
4646_1,Ermatingen,2,0,2,4,3,723736.9,281188.4
4646_1,Ermatingen,2,0,2,4,3,725587.5,280231.2
4726_1,Fischingen,5,0,0,6,1,715506,252722.9
4781_1,Waengi,6,0,1,7,1,714126.5,261731.6
4816_1,Homburg,4,0,2,6,1,717923.3,277142.8
4821_1,Huettwilen,3,0,2,5,1,707658.3,273924
4826_1,Mammern,5,0,0,6,1,710853.1,278102.1
4901_1,Birwinken,8,0,2,10,1,732279.7,271646.8
492_1,Erlach,1,1,2,5,3,574025.3,210323.5
4946_1,Weinfelden,4,0,0,5,1,725415.9,269785.9
496_1,Ins,2,3,0,7,2,574719.5,206111.6
5_1,Hedingen,7,0,1,8,1,676187.4,239154.8
52_1,Bassersdorf,9,2,1,14,1,689572.1,254881.1
53_1,Buelach,8,0,1,9,1,682667.6,264267.2
539_1,Grafenried,2,2,1,5,2,605510,214308.2
546_1,Muenchenbuchsee,3,9,0,12,2,601013.4,207819.4
55_1,Eglisau,4,0,2,7,1,681520.7,270058.5
552_1,Utzenstorf,0,3,1,5,2,609108.4,219688.6
561_1,Adelboden,3,1,2,8,1,609304.1,149113.8
563_1,Frutigen,4,4,0,8,2,616296.4,159686.8
565_1,Kandersteg,0,1,1,4,2,617898.3,149542.1
567_1,Kiental,3,3,1,6,2,621808.4,159852.6
567_1,Kiental,3,3,1,6,2,619569.4,163827.3
573_1,Brienz (BE),4,1,3,12,1,645389.4,178276.2
576_1,Grindelwald,3,0,0,6,1,645466.2,163888.6
579_1,Habkern,1,3,1,5,2,632532.4,175070.1
581_1,Interlaken,0,5,0,6,2,631628.8,170359
582_1,Iseltwald,1,4,3,8,2,640194.6,173497.6
584_1,Lauterbrunnen,0,3,0,5,2,635962,160848.4
584_1,Lauterbrunnen,0,3,0,5,2,636955.8,161644.9
584_1,Lauterbrunnen,0,3,0,5,2,634813.8,156554.7
585_1,Leissigen,3,4,0,7,2,625899.8,167197.8
6_1,Kappel am Albis,3,1,1,5,1,682407.1,231308.6
6002_1,Brig-Glis,3,3,1,7,1,642260.2,129562.8
6009_1,Simplon,6,4,0,11,1,647676.4,116232.6
6054_1,Binn,2,0,1,3,1,657355.8,135015.8
6066_1,Oberwald,1,2,0,5,1,669858.1,154055.9
6101_1,Agarn,6,1,2,11,1,617456.6,127168.6
6109_1,Inden,2,1,1,4,1,613787.1,132532.1
6113_1,Salgesch,2,3,0,5,2,610158.9,128930
6117_1,Guttet-Feschel,3,0,2,5,1,617527.1,130445.4
612_1,Konolfingen,0,4,2,6,2,613930.8,192215
6171_1,Betten,0,3,1,5,2,648508.8,136309.6
6179_1,Moerel,6,1,0,8,1,646839.4,134060.6
6191_1,Ausserberg,5,0,0,5,1,631619.9,129162.7
6192_1,Blatten,4,0,2,8,1,629268,141098.8
6193_1,Buerchen,5,1,1,7,1,629049.9,125518.9
6195_1,Ferden,6,1,1,11,1,624688.1,138130
6200_1,Steg,2,0,2,5,1,623903.3,129181.8
623_1,Rubigen,3,4,1,8,2,608133.1,194245.6
627_1,Worb,1,3,0,4,2,609419.8,197653.2
6287_1,Randa,1,2,0,5,2,626629,105344
6291_1,Saas-Grund,1,4,0,5,2,638482,108053
6292_1,Sankt Niklaus,0,4,1,6,2,628031.6,113812.4
6297_1,Visp,2,4,3,10,2,634176.7,127047.7
6298_1,Visperterminen,0,7,1,8,2,635776.9,123168.3
6300_1,Zermatt,3,3,1,8,1,623812,96492
663_1,Frauenkappelen,4,2,1,6,1,592388.6,200341.3
667_1,Laupen,0,5,1,6,2,584788.4,194678.1
67_1,Rafz,7,0,1,8,1,682828.8,273998.3
670_1,Neuenegg,2,3,0,5,2,589436,193661.3
68_1,Rorbas,5,0,1,6,1,685793.7,264959.4
740_1,Ligerz,0,4,1,5,2,576972.8,214815.8
751_1,Taeuffelen,2,4,1,8,2,581738.6,212868.6
752_1,Tuescherz-Alferm?e,2,1,0,4,1,581377.8,218004.9
762_1,Diemtigen,3,3,0,6,1,609647.8,166420
767_1,Reutigen,5,3,1,9,1,613889.1,171465.6
768_1,Faulensee,3,1,0,4,1,620192.6,169368.9
768_1,Faulensee,3,1,0,4,1,618487.6,170597.2
781_1,Gadmen,1,1,1,4,1,669877.9,176753.6
782_1,Guttannen,4,1,0,8,1,665152.8,167414.1
784_1,Innertkirchen,1,1,2,6,2,660454.7,173040.5
785_1,Meiringen,4,0,3,10,1,656975.8,175417.8
791_1,Boltigen,1,2,1,6,1,596261.4,164017.3
792_1,Lenk,5,1,1,7,1,600401.3,145231.5
793_1,St. Stephan,3,1,2,6,1,596439.1,151428.7
794_1,Zweisimmen,5,2,0,8,1,595145.3,155796.2
841_1,Gsteig,3,1,0,5,1,586829.4,137117.7
852_1,Guggisberg,1,1,3,5,3,591626.3,179573.2
854_1,Wahlern,1,4,2,7,2,592557.3,185205.7
861_1,Belp,2,2,0,6,1,604542.3,193161.3
880_1,Rueeggisberg,2,3,0,5,2,600063.1,185604.9
883_1,Seftigen,0,5,2,7,2,607798.5,181790.1
902_1,Langnau im Emmental,3,7,2,13,2,626356.1,198713.3
904_1,Roethenbach im Emmental,4,2,0,6,1,623086.3,189268.8
906_1,Schangnau,1,3,2,5,2,632234.4,186359.9
907_1,Signau,1,5,0,7,2,621853,196556.6
908_1,Fankhaus,0,3,2,5,2,633397.3,199134.2
91_1,Niederweningen,5,0,0,5,1,670703.1,261943.8
939_1,Steffisburg,3,16,3,25,2,614988.2,180877.2
942_1,Thun,2,4,1,8,2,614640.4,178193.4
95_1,Regensberg,5,1,0,7,1,675432.9,259636.3
954_1,Huttwil,0,6,1,8,2,631194.8,218047.8
955_1,Luetzelflueh,2,4,3,10,2,619206.1,206290.3
97_1,Ruemlang,4,1,0,5,1,682508.3,256489.7
981_1,Niederbipp,3,6,1,10,2,619362.1,235509.9
992_1,Wangen an der Aare,3,3,0,7,1,616466.3,231268.7
