id;lon;lat;label;value;x_ch;y_ch
197;10.206514;46.68793;Rothirsch;4;811696;174480
198;10.20606;46.69029;Rothirsch;9;811652;174741
199;10.206624;46.691347;Rothirsch;3;811691;174860
200;10.211865;46.688456;Rothirsch;5;812103;174553
201;10.213656;46.690231;Rothirsch;2;812233;174755
202;10.211202;46.687266;Rothirsch;23;812057;174419
203;10.208383;46.68891;Rothirsch;11;811835;174594
204;10.204936;46.688778;Rothirsch;2;811572;174570
205;10.216854;46.687291;Rothirsch;2;812489;174437
206;10.217535;46.687823;Rothirsch;4;812539;174498
207;10.212926;46.687216;Rothirsch;18;812189;174418
208;10.208469;46.68601;Rothirsch;3;811853;174272
209;10.204775;46.685649;Rothirsch;3;811572;174222
210;10.205673;46.68786;Rothirsch;2;811632;174470
211;10.213406;46.688662;Rothirsch;17;812220;174580
212;10.211159;46.69076;Rothirsch;3;812040;174807
213;10.197379;46.691166;Rothirsch;2;810985;174815
214;10.195403;46.686786;Rothirsch;3;810851;174323
215;10.203343;46.68834;Rothirsch;2;811452;174517
216;10.205041;46.692628;Rothirsch;1;811565;174998
217;10.202545;46.686802;Rothirsch;2;811397;174344
218;10.199537;46.686299;Rothirsch;7;811169;174280
219;10.199655;46.683748;Rothirsch;11;811188;173997
220;10.200465;46.684998;Rothirsch;4;811245;174138
221;10.197725;46.684614;Rothirsch;6;811037;174088
222;10.200084;46.685997;Rothirsch;5;811212;174248
223;10.199919;46.685317;Rothirsch;15;811202;174172
224;10.199886;46.684175;Rothirsch;4;811204;174045
225;10.201739;46.686119;Rothirsch;5;811338;174266
226;10.20081;46.68715;Rothirsch;2;811263;174378
227;10.196126;46.689676;Rothirsch;2;810895;174646
228;10.197781;46.690842;Rothirsch;4;811017;174780
229;10.199702;46.6885;Rothirsch;3;811173;174525
230;10.204484;46.687376;Rothirsch;4;811543;174413
231;10.205899;46.685127;Rothirsch;4;811660;174167
232;10.20731;46.685849;Rothirsch;2;811765;174251
233;10.211305;46.687237;Rothirsch;6;812065;174416
234;10.213363;46.686566;Rothirsch;5;812225;174347
235;10.205318;46.685276;Rothirsch;9;811615;174182
236;10.20633;46.685612;Rothirsch;5;811691;174222
237;10.206211;46.69043;Rothirsch;5;811663;174757
238;10.206381;46.687123;Rothirsch;1;811689;174390
239;10.204973;46.688741;Rothirsch;1;811575;174566
240;10.203796;46.687221;Rothirsch;2;811491;174394
241;10.202586;46.68888;Rothirsch;1;811392;174575
242;10.198538;46.688501;Rothirsch;5;811084;174522
243;10.194933;46.688093;Rothirsch;5;810810;174467
244;10.20073;46.685586;Rothirsch;5;811263;174204
245;10.213529;46.687498;Rothirsch;2;812234;174451
246;10.199793;46.683637;Rothirsch;5;811199;173985
247;10.198942;46.684891;Rothirsch;6;811129;174122
248;10.201444;46.68573;Rothirsch;1;811317;174222
249;10.197237;46.686588;Rothirsch;4;810992;174306
250;10.19648;46.689172;Rothirsch;3;810924;174591
251;10.205738;46.687597;Rothirsch;8;811638;174441
252;10.199079;46.688587;Rothirsch;2;811125;174533
253;10.209933;46.689296;Rothirsch;4;811952;174641
254;10.20827;46.686978;Rothirsch;2;811834;174379
255;10.210479;46.686951;Rothirsch;6;812003;174382
256;10.211917;46.687438;Rothirsch;1;812111;174440
257;10.213955;46.688397;Rothirsch;6;812263;174552
258;10.216425;46.688363;Rothirsch;5;812452;174555
259;10.206323;46.686764;Rothirsch;1;811686;174350
260;10.201042;46.682482;Rothirsch;3;811299;173860
261;10.198314;46.684375;Rothirsch;1;811083;174063
262;10.210396;46.689914;Rothirsch;1;811985;174711
263;10.211405;46.686883;Rothirsch;4;812074;174377
264;10.217702;46.687504;Rothirsch;4;812553;174463
265;10.19973;46.688526;Rothirsch;1;811175;174528
266;10.212638;46.686457;Rothirsch;13;812170;174333
267;10.219205;46.688494;Rothirsch;5;812664;174577
268;10.217984;46.689424;Rothirsch;5;812567;174677
